"","Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","imported_sum","tour_popu_2017","tour_popu_2018","cn_tour_dense","tw_exposed"
"1","Albania","ALB",4643000,5340000,10584,17525,3562,3675,49,136,185,1,4532.89016212124,5268.84850355919,104.870693430657,104.612262773723,316015698.96,180094938.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14146,21200,202.653106221932,0.91289002892164
"2","United Arab Emirates","ARE",20394000,21286000,NA,1481040,7782,9610,5163,5423,10586,1,39811.634701763,43004.9533584848,133.584947901999,135.609110109828,28554564532,11525115401.85,0,0,0,0,5,5,5,5,8,9,9,9,27,45,113,0,NA,1490650,10992.2555998837,0.963041652717029
"3","Austria","AUT",29460000,30816000,899636,972998,67573,70279,2936,3762,6698,1,47431.630607607,51461.9547804677,106.607445296677,107.206926667578,8269611059.16,4712665734.59,0,0,0,0,0,0,0,0,0,0,0,0,29,79,1646,5,967209,1043277,9731.43277612035,0.688285081353694
"4","Belgium","BEL",8385000,9119000,165425,193143,68224,69248,59,54,113,1,44219.5619960117,47518.6360388914,375.66571994716,377.214927344782,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,23,169,1486,1,233649,262391,695.600786127346,0.162449500135143
"5","Bulgaria","BGR",8883000,9273000,28654,36503,21508,20637,4,12,16,1,8228.0115697265,9272.62930360848,65.1800571112749,64.7035372144436,1271763006.12,940951820.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,50162,57140,883.104733681311,0.01811789631486
"6","Bosnia and Herzegovina","BIH",923000,1053000,31780,58235,3536,4037,9,15,24,1,5394.59122017677,6065.67270824158,65.45951171875,64.92048828125,670040748.98,43247418.34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,35316,62272,959.204122591066,0.0250207431710881
"7","Belarus","BLR",11060200,11501600,18180,30680,19154,24745,8,1,9,1,5761.74712023007,6289.93855308212,46.792242075569,46.7287999040892,2476799596.29,377083122.27,0,0,0,0,0,0,0,0,0,0,0,0,6,6,51,0,37334,55425,1186.09936728013,0.00758789714274791
"8","Switzerland","CHE",9889000,10362000,974756,1026160,72096,73931,573,558,1131,1,80450.0458197413,82796.5471631285,213.883991070172,215.521378417094,13052275177.06,25828942904.18,0,0,0,0,0,0,0,0,0,0,0,0,90,268,3028,1,1046852,1100091,5104.32425813005,0.221576832270906
"9","Czech Republic","CZE",10160000,10611000,489845,617935,34571,33367,170,257,427,1,20379.8960396417,23078.5734865691,137.198109298109,137.602887852888,18653432249.5,2833340226.1,0,0,0,0,0,0,0,0,0,0,0,0,8,19,464,5,524416,651302,4733.20008150055,0.0902138072863022
"10","Germany","DEU",37452000,38881000,1555661,1591555,634053,643074,5820,6077,11897,1,44240.0441099604,47603.0276328757,236.595494618731,237.3709697733,106415862255.71,95110633029.97,0,0,0,0,10,12,12,13,14,16,16,16,262,799,12327,4,2189714,2234629,9414.07873984831,1.263745537802
"11","Denmark","DNK",12426000,12749000,103728,109392,70239,70023,110,120,230,1,57141.0598350413,61350.3479093986,137.294117647059,138.067301738509,6102945245.32,4157154655.84,0,0,0,0,0,0,0,0,0,0,0,0,11,24,1116,0,173967,179415,1299.47494983136,0.176994562326768
"12","Algeria","DZA",2451000,2657000,39929,47142,26531,26961,21,31,52,1,4044.29837226523,4114.71506136896,17.3777146120063,17.7300750711665,7702756989.3,674946179.39,0,0,0,0,0,0,0,0,0,0,0,0,12,17,74,0,66460,74103,4179.50853014209,0.0124416542339805
"13","Spain","ESP",81869000,82773000,1324491,1452101.81415796,155564,167988,1010,2249,3259,1,28100.8522848303,30370.8923252247,93.2678044400906,93.5290582615872,28337925349.29,7395235734.19,0,0,0,0,1,1,1,1,2,2,2,2,222,500,13910,7,1480055,1620089.81415796,17321.7804634235,0.188144631372142
"14","Estonia","EST",3244000,3234000,19698,20381,5804,5992,3,10,13,1,20337.8497289442,23266.3462718751,30.3055900621118,30.3861053600184,1422948703.89,280661854.29,0,0,0,0,0,0,0,0,0,0,0,0,2,10,258,0,25502,26373,867.929591092026,0.014978173498663
"15","Finland","FIN",3180000,3224000,209568,202697,57812,57967,145,416,561,1,46191.9311557681,50152.3401411303,18.1244908031983,18.1568556480537,4847871268.21,3960712510.37,0,0,0,0,1,1,1,1,1,1,1,1,6,15,336,0,267380,260664,14356.2302335064,0.039077110834477
"16","France","FRA",86758000,89322000,2095320,2175647,493712,499160,5252,5672,10924,1,38679.1271482419,41463.6440227034,122.115405252835,122.338395739199,50807419016.77,22109385815.27,0,0,2,3,6,6,6,6,11,12,12,12,288,957,9105,8,2589032,2674807,21864.0025793877,0.4996340427758
"17","United Kingdom","GBR",37651000,36316000,337127,391380,590714,607846,5554,5974,11528,1,40361.4173832159,42943.9022698053,273.049472988054,274.82739222089,58926873596.62,21898847064.49,0,0,0,0,2,2,2,3,8,9,9,9,86,207,2642,5,927841,999226,3635.8311736149,3.17066427166869
"18","Greece","GRC",27194000,30123000,319268,366053,42198,44949,45,171,216,1,18883.4600669282,20324.2535641478,83.4342823894492,83.2247323506594,3163113090.21,338664738.17,0,0,0,0,0,0,0,0,0,0,0,0,9,46,418,1,361466,411002,4938.45985912316,0.0437383326303581
"19","Croatia","HRV",15593000,16645000,159301,233630,23184,22267,13,60,73,1,13412.3419505426,14909.6931860854,73.7049857040743,73.0771979985704,692108772.78,91825133.68,0,0,0,0,0,0,0,0,0,0,0,0,10,12,81,0,182485,255897,3501.73524722453,0.0208468073244143
"20","Hungary","HUN",15785000,17552000,227225,261298,22495,23619,104,197,301,1,14457.608763614,16161.9805101918,108.118480061858,107.906605545123,5788589206.93,3222025289.07,0,0,0,0,0,0,0,0,0,0,0,0,2,4,58,0,249720,284917,2640.40369503475,0.11399771957827
"21","Ireland","IRL",10338000,10926000,NA,NA,41953,44002,71,75,146,1,69649.8827399743,78806.431996268,69.7835389751778,70.452983016403,4312716520.57,7504891301.66,0,0,0,0,0,0,0,0,0,0,0,0,6,18,292,1,NA,NA,NA,NA
"22","Iceland","ISL",2225000,2343800,237357,307640,2788,2835,101,184,285,1,71314.774196294,73191.1163154337,3.42543640897756,3.52692269326683,464997158.24,101044851.29,0,0,0,0,0,0,0,0,0,0,0,0,26,50,250,1,240145,310475,88029.9986707168,0.00323753270820854
"23","Israel","ISR",3613000,4121000,114068,105483,91540,97484,871,818,1689,1,40541.8620907084,41715.0292840432,402.647874306839,410.526802218115,5930962288.87,3543238635.17,0,0,0,0,0,0,0,0,0,0,0,1,15,43,433,0,205608,202967,494.406209054683,3.41621923241904
"24","Italy","ITA",58253000,61567200,3077279,3200847,279686,277776,2804,4122,6926,1,32326.8417463954,34483.2039992043,205.809169103148,205.450747943156,31732127382.15,16114070299.45,0,0,0,0,2,2,2,3,3,3,3,20,3089,5883,35713,5,3356965,3478623,16931.6638407297,0.409056077722219
"25","Jordan","JOR",3843500,4150000,35979,28382,29615,28309,64,221,285,1,4162.82068657256,4241.78878213854,110.150630772697,112.14249831043,2735861571.87,300387389.42,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,0,65594,56691,505.526458337582,0.563768711408734
"26","Lebanon","LBN",1857000,1964000,7730,9467,19622,18549,60,28,88,1,7838.34338489943,8269.78767551923,665.872238514174,669.494134897361,1953551203.42,23910467.89,0,0,0,0,0,0,0,0,0,0,0,1,13,22,133,0,27352,28016,41.846520439339,2.1029227538181
"27","Lithuania","LTU",2523000,2825000,24000,19297,10821,10972,5,33,38,1,16840.938567953,19153.4089860651,45.151861559541,44.5313513780643,1011145786.67,265398813.18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,0,34821,30269,679.723364849651,0.0559050960509579
"28","Luxembourg","LUX",1046000,1018000,33709,31750,3125,3186,15,11,26,1,107361.306947271,116639.88804711,245.405761316872,250.093827160494,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,203,0,36834,34936,139.691572545612,0.186124327518114
"29","Latvia","LVA",1949000,1946000,22774,22738,8308,8243,5,1,6,1,15548.0823130571,17860.6171980214,31.2358957864265,30.9833065294307,584463740.64,176234031.31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71,0,31082,30981,999.925555736651,0.00600044669883426
"30","Morocco","MAR",11349000,12289000,150484,225002,20335,23498,200,519,719,1,3036.17106160684,3237.88336815666,79.7250593771006,80.7285189334528,3140957468,635005988.27,0,0,0,0,0,0,0,0,0,0,0,0,1,2,49,0,170819,248500,3078.21824657587,0.233576680535825
"31","North Macedonia","MKD",631000,707000,9435,13724,3229,3476,6,0,6,1,5417.64201944282,6083.71894832148,82.5533703409992,82.5915146708961,433863259.59,73862909.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12664,17200,208.253839011636,0.0288109934898475
"32","Malta","MLT",2274000,2599000,NA,NA,2017,2239,14,22,36,1,27283.5447293274,30098.2833099975,1462.496875,1511.03125,672972662,408097387.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,NA,NA,NA,NA
"33","Netherlands","NLD",17924000,18780000,312000,285000,193960,196183,3892,5229,9121,1,48554.9922761756,53024.0592130531,508.497951914515,511.457910359157,50427106484.12,11923378190.5,0,0,0,0,0,0,0,0,0,0,0,0,38,188,2058,2,505960,481183,940.806643624111,9.69487201415235
"34","Norway","NOR",6252000,5688000,375738,255826,39065,38743,258,396,654,1,75496.7540581998,81697.2459836768,14.4525759458847,14.5549195374975,7960401157.33,2976734106,0,0,0,0,0,0,0,0,0,0,0,0,56,147,1550,0,414803,294569,20238.4492226913,0.0323147289006086
"35","Poland","POL",18258000,19622000,138000,158000,90511,95338,193,244,437,1,13856.9823892845,15420.9111634295,124.0237303635,124.035886214442,24823465418.16,2608592415.54,0,0,0,0,0,0,0,0,0,0,0,0,1,5,251,0,228511,253338,2042.45728983636,0.213957962389026
"36","Portugal","PRT",15432000,16186000,277628,324902,56259,56314,356,707,1063,1,21437.3475036794,23407.9065887968,112.441821058412,112.23945350807,2398268389.04,1442605347.38,0,0,0,0,0,0,0,0,0,0,0,0,5,20,448,0,333887,381216,3396.45274531376,0.312973587360128
"37","Romania","ROU",10926000,11720000,35929,41625,48740,45630,29,10,39,1,10807.6844848917,12301.1864034302,85.1333927329624,84.6398470097357,4253840645.57,1337430259.24,0,0,0,0,0,0,0,0,0,0,0,0,4,9,260,0,84669,87255,1030.89742104524,0.037831116077929
"38","Russian Federation","RUS",24390000,24551000,1478212,1690186,2344646,2414301,199,264,463,1,10750.5871197198,11288.8724435206,8.82322079860193,8.82207955488442,43022512439.8,39191599161.12,0,0,0,0,2,2,2,2,2,2,2,2,3,13,147,0,3822858,4104487,465251.642140034,0.000995160377877061
"39","Slovak Republic","SVK",2162000,2256000,61346,66961,14202,14743,4,1,5,1,17510.0889889901,19442.7057620693,113.128785357737,113.290578202995,4926564981.04,2075087951.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,0,75548,81704,721.189716708852,0.0069329884829993
"40","Slovenia","SVN",3991000,4425000,69549,87171,7503,7972,12,43,55,1,23442.704281871,26123.9738694646,102.59100635951,102.639859503382,1965488641.66,403161863.11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,275,0,77052,95143,926.959569706592,0.0593337636261839
"41","Sweden","SWE",7054000,7440000,183203,172989,111758,109991,479,765,1244,1,53744.4290321437,54608.3602546906,24.6929807763129,25.0010434312931,6973680520.24,7140779784.07,0,0,0,0,1,1,1,1,1,1,1,1,35,161,1279,0,294961,282980,11318.7275874175,0.1099063468391
"42","Turkey","TUR",37601000,45768000,593312,1027672,75451,74409,4535,5533,10068,1,10513.6484152661,9370.1763438282,105.377768538129,106.960128893104,22829951278.97,3151518129.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,13,668763,1102081,10303.6618542356,0.977128339655407
"43","Ukraine","UKR",14230000,14104000,29561,41061,171766,180725,8,5,13,1,2640.67567655839,3095.17358053586,77.389796129745,77.0296673514129,5527517061.3,2014343096.68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,201327,221786,2879.22832365616,0.00451509867876407
